movieId,title,genres,imdbId,tmdbId,avg_rating,rating_count,original_language,original_title,popularity,release_date,runtime,vote_average,poster_url
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,114709,862.0,3.8974375697494095,68997.0,en,Toy Story,20.925,1995-11-22,81,7.97,https://image.tmdb.org/t/p/w500/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg
2,Jumanji (1995),Adventure|Children|Fantasy,113497,8844.0,3.2757576805978412,28904.0,en,Jumanji,2.8182,1995-12-15,104,7.243,https://image.tmdb.org/t/p/w500/vgpXmVaVyUL7GGiDeiK1mKEKzcX.jpg
3,Grumpier Old Men (1995),Comedy|Romance,113228,15602.0,3.1394472361809047,13134.0,en,Grumpier Old Men,1.5095,1995-12-22,101,6.483,https://image.tmdb.org/t/p/w500/1FSXpj5e8l4KH6nVFO5SPUeraOt.jpg
4,Waiting to Exhale (1995),Comedy|Drama|Romance,114885,31357.0,2.8453314326443335,2806.0,en,Waiting to Exhale,2.1314,1995-12-22,127,6.235,https://image.tmdb.org/t/p/w500/8MprEuTY3EwkF9nBBPCUyjRjvs5.jpg
5,Father of the Bride Part II (1995),Comedy,113041,11862.0,3.0596016420860574,13154.0,en,Father of the Bride Part II,2.2086,1995-12-08,106,6.269,https://image.tmdb.org/t/p/w500/rj4LBtwQ0uGrpBnCELr716Qo3mw.jpg
6,Heat (1995),Action|Crime|Thriller,113277,949.0,3.8682773821634453,29490.0,en,Heat,14.6833,1995-12-15,170,7.926,https://image.tmdb.org/t/p/w500/umSVjVdbVwtx5ryCA2QXL44Durm.jpg
7,Sabrina (1995),Comedy|Romance,114319,11860.0,3.363967611336032,13585.0,en,Sabrina,4.0924,1995-12-15,127,6.214,https://image.tmdb.org/t/p/w500/i8PbLJDPU7vCwwscWD625oHbJy.jpg
8,Tom and Huck (1995),Adventure|Children,112302,45325.0,3.1155629139072847,1510.0,en,Tom and Huck,3.8409,1995-12-22,97,5.263,https://image.tmdb.org/t/p/w500/bMY31ikEOIPOHqQwhPhII8UVBln.jpg
9,Sudden Death (1995),Action,114576,9091.0,2.9877226769378913,4154.0,en,Sudden Death,2.1507,1995-10-27,110,6.016,https://image.tmdb.org/t/p/w500/1pylO6YX5XdOA6QCc5IRxrrffkg.jpg
10,GoldenEye (1995),Action|Adventure|Thriller,113189,710.0,3.4278499722855207,32474.0,en,GoldenEye,7.7097,1995-11-16,130,6.899,https://image.tmdb.org/t/p/w500/z0ljRnNxIO7CRBhLEO0DvLgAFPR.jpg
11,"American President, The (1995)",Comedy|Drama|Romance,112346,9087.0,3.6571600355518377,19127.0,en,The American President,2.4644,1995-11-17,113,6.53,https://image.tmdb.org/t/p/w500/yObOAYFIHXHkFPQ3jhgkN2ezaD.jpg
12,Dracula: Dead and Loving It (1995),Comedy|Horror,112896,12110.0,2.649131047440113,4258.0,en,Dracula: Dead and Loving It,2.9257,1995-12-22,88,6.1,https://image.tmdb.org/t/p/w500/4rRfZz8YnHNRr16t3CFcJrPdXHi.jpg
13,Balto (1995),Adventure|Animation|Children,112453,21032.0,3.3540579022306596,2107.0,en,Balto,2.7724,1995-12-22,78,7.303,https://image.tmdb.org/t/p/w500/dCVcdb5oxDizqFLz0F7TE60NoC9.jpg
14,Nixon (1995),Drama,113987,10858.0,3.428302812295618,6116.0,en,Nixon,4.1399,1995-12-22,192,6.868,https://image.tmdb.org/t/p/w500/cz2MTGr2wpDZLirgV2rGHBdA2t3.jpg
15,Cutthroat Island (1995),Action|Adventure|Romance,112760,1408.0,2.7308809293320424,3099.0,en,Cutthroat Island,2.739,1995-12-22,124,5.78,https://image.tmdb.org/t/p/w500/hYdeBZ4BFXivdouxLfQGWNE6zRx.jpg
16,Casino (1995),Crime|Drama,112641,524.0,3.8383487308278768,22298.0,en,Casino,7.152,1995-11-22,179,7.99,https://image.tmdb.org/t/p/w500/gziIkUSnYuj9ChCi8qOu2ZunpSC.jpg
